CASE_NUM,COHORT,GEOMETRY,FLOW_RATE,PERC_DS,RAMP_ANGLE,VISCOUS_MODEL,ARTERIAL_VOLUME,TIMESTEP_SIZE,NO_TIMESTEPS
1,1,1,4,20,30,TURBULENT,7.24236E-07,0.000512004,1768.139778
2,1,1,3.75,20,30,TURBULENT,7.24236E-07,0.000546138,1768.139778
3,1,1,3.5,20,30,TURBULENT,7.24236E-07,0.000585148,1768.139778
4,1,1,3.25,20,30,TURBULENT,7.24236E-07,0.000630159,1768.139778
5,1,1,3,20,30,TURBULENT,7.24236E-07,0.000682672,1768.139778
6,1,1,2.75,20,30,TURBULENT,7.24236E-07,0.000744733,1768.139778
7,1,1,2.5,20,30,TURBULENT,7.24236E-07,0.000819207,1768.139778
8,1,1,2.25,20,30,TURBULENT,7.24236E-07,0.00091023,1768.139778
9,1,1,2,20,30,TURBULENT,7.24236E-07,0.001024008,1768.139778
10,1,1,1.75,20,30,LAMINAR,7.24236E-07,0.001170295,1768.139778
11,1,1,1.5,20,30,LAMINAR,7.24236E-07,0.001365345,1768.139778
12,1,1,1.25,20,30,LAMINAR,7.24236E-07,0.001638413,1768.139778
13,1,1,1,20,30,LAMINAR,7.24236E-07,0.002048017,1768.139778
14,1,1,0.75,20,30,LAMINAR,7.24236E-07,0.002730689,1768.139778
15,1,1,0.5,20,30,LAMINAR,7.24236E-07,0.004096034,1768.139778
16,1,2,4,20,45,TURBULENT,7.24268E-07,0.000512004,1768.218537
17,1,2,3.75,20,45,TURBULENT,7.24268E-07,0.000546138,1768.218537
18,1,2,3.5,20,45,TURBULENT,7.24268E-07,0.000585148,1768.218537
19,1,2,3.25,20,45,TURBULENT,7.24268E-07,0.000630159,1768.218537
20,1,2,3,20,45,TURBULENT,7.24268E-07,0.000682672,1768.218537
21,1,2,2.75,20,45,TURBULENT,7.24268E-07,0.000744733,1768.218537
22,1,2,2.5,20,45,TURBULENT,7.24268E-07,0.000819207,1768.218537
23,1,2,2.25,20,45,TURBULENT,7.24268E-07,0.00091023,1768.218537
24,1,2,2,20,45,TURBULENT,7.24268E-07,0.001024008,1768.218537
25,1,2,1.75,20,45,LAMINAR,7.24268E-07,0.001170295,1768.218537
26,1,2,1.5,20,45,LAMINAR,7.24268E-07,0.001365345,1768.218537
27,1,2,1.25,20,45,LAMINAR,7.24268E-07,0.001638413,1768.218537
28,1,2,1,20,45,LAMINAR,7.24268E-07,0.002048017,1768.218537
29,1,2,0.75,20,45,LAMINAR,7.24268E-07,0.002730689,1768.218537
30,1,2,0.5,20,45,LAMINAR,7.24268E-07,0.004096034,1768.218537
31,1,3,4,20,60,TURBULENT,7.24306E-07,0.000512004,1768.311114
32,1,3,3.75,20,60,TURBULENT,7.24306E-07,0.000546138,1768.311114
33,1,3,3.5,20,60,TURBULENT,7.24306E-07,0.000585148,1768.311114
34,1,3,3.25,20,60,TURBULENT,7.24306E-07,0.000630159,1768.311114
35,1,3,3,20,60,TURBULENT,7.24306E-07,0.000682672,1768.311114
36,1,3,2.75,20,60,TURBULENT,7.24306E-07,0.000744733,1768.311114
37,1,3,2.5,20,60,TURBULENT,7.24306E-07,0.000819207,1768.311114
38,1,3,2.25,20,60,TURBULENT,7.24306E-07,0.00091023,1768.311114
39,1,3,2,20,60,TURBULENT,7.24306E-07,0.001024008,1768.311114
40,1,3,1.75,20,60,LAMINAR,7.24306E-07,0.001170295,1768.311114
41,1,3,1.5,20,60,LAMINAR,7.24306E-07,0.001365345,1768.311114
42,1,3,1.25,20,60,LAMINAR,7.24306E-07,0.001638413,1768.311114
43,1,3,1,20,60,LAMINAR,7.24306E-07,0.002048017,1768.311114
44,1,3,0.75,20,60,LAMINAR,7.24306E-07,0.002730689,1768.311114
45,1,3,0.5,20,60,LAMINAR,7.24306E-07,0.004096034,1768.311114
136,1,10,4,50,30,TURBULENT,6.90717E-07,0.000200002,4316.944739
137,1,10,3.75,50,30,TURBULENT,6.90717E-07,0.000213335,4316.944739
138,1,10,3.5,50,30,TURBULENT,6.90717E-07,0.000228573,4316.944739
139,1,10,3.25,50,30,TURBULENT,6.90717E-07,0.000246156,4316.944739
140,1,10,3,50,30,TURBULENT,6.90717E-07,0.000266669,4316.944739
141,1,10,2.75,50,30,TURBULENT,6.90717E-07,0.000290911,4316.944739
142,1,10,2.5,50,30,TURBULENT,6.90717E-07,0.000320003,4316.944739
143,1,10,2.25,50,30,TURBULENT,6.90717E-07,0.000355558,4316.944739
144,1,10,2,50,30,TURBULENT,6.90717E-07,0.000400003,4316.944739
145,1,10,1.75,50,30,TURBULENT,6.90717E-07,0.000457147,4316.944739
146,1,10,1.5,50,30,TURBULENT,6.90717E-07,0.000533338,4316.944739
147,1,10,1.25,50,30,TURBULENT,6.90717E-07,0.000640005,4316.944739
148,1,10,1,50,30,TURBULENT,6.90717E-07,0.000800007,4316.944739
149,1,10,0.75,50,30,LAMINAR,6.90717E-07,0.001066675,4316.944739
150,1,10,0.5,50,30,LAMINAR,6.90717E-07,0.001600013,4316.944739
151,1,11,4,50,45,TURBULENT,6.91468E-07,0.000200002,4321.641388
152,1,11,3.75,50,45,TURBULENT,6.91468E-07,0.000213335,4321.641388
153,1,11,3.5,50,45,TURBULENT,6.91468E-07,0.000228573,4321.641388
154,1,11,3.25,50,45,TURBULENT,6.91468E-07,0.000246156,4321.641388
155,1,11,3,50,45,TURBULENT,6.91468E-07,0.000266669,4321.641388
156,1,11,2.75,50,45,TURBULENT,6.91468E-07,0.000290911,4321.641388
157,1,11,2.5,50,45,TURBULENT,6.91468E-07,0.000320003,4321.641388
158,1,11,2.25,50,45,TURBULENT,6.91468E-07,0.000355558,4321.641388
159,1,11,2,50,45,TURBULENT,6.91468E-07,0.000400003,4321.641388
160,1,11,1.75,50,45,TURBULENT,6.91468E-07,0.000457147,4321.641388
161,1,11,1.5,50,45,TURBULENT,6.91468E-07,0.000533338,4321.641388
162,1,11,1.25,50,45,TURBULENT,6.91468E-07,0.000640005,4321.641388
163,1,11,1,50,45,TURBULENT,6.91468E-07,0.000800007,4321.641388
164,1,11,0.75,50,45,LAMINAR,6.91468E-07,0.001066675,4321.641388
165,1,11,0.5,50,45,LAMINAR,6.91468E-07,0.001600013,4321.641388
166,1,12,4,50,60,TURBULENT,6.91888E-07,0.000200002,4324.262241
167,1,12,3.75,50,60,TURBULENT,6.91888E-07,0.000213335,4324.262241
168,1,12,3.5,50,60,TURBULENT,6.91888E-07,0.000228573,4324.262241
169,1,12,3.25,50,60,TURBULENT,6.91888E-07,0.000246156,4324.262241
170,1,12,3,50,60,TURBULENT,6.91888E-07,0.000266669,4324.262241
171,1,12,2.75,50,60,TURBULENT,6.91888E-07,0.000290911,4324.262241
172,1,12,2.5,50,60,TURBULENT,6.91888E-07,0.000320003,4324.262241
173,1,12,2.25,50,60,TURBULENT,6.91888E-07,0.000355558,4324.262241
174,1,12,2,50,60,TURBULENT,6.91888E-07,0.000400003,4324.262241
175,1,12,1.75,50,60,TURBULENT,6.91888E-07,0.000457147,4324.262241
176,1,12,1.5,50,60,TURBULENT,6.91888E-07,0.000533338,4324.262241
177,1,12,1.25,50,60,TURBULENT,6.91888E-07,0.000640005,4324.262241
178,1,12,1,50,60,TURBULENT,6.91888E-07,0.000800007,4324.262241
179,1,12,0.75,50,60,LAMINAR,6.91888E-07,0.001066675,4324.262241
180,1,12,0.5,50,60,LAMINAR,6.91888E-07,0.001600013,4324.262241
226,1,16,4,70,30,TURBULENT,6.74394E-07,7.20006E-05,11708.13129
227,1,16,3.75,70,30,TURBULENT,6.74394E-07,7.68006E-05,11708.13129
228,1,16,3.5,70,30,TURBULENT,6.74394E-07,8.22864E-05,11708.13129
229,1,16,3.25,70,30,TURBULENT,6.74394E-07,8.86161E-05,11708.13129
230,1,16,3,70,30,TURBULENT,6.74394E-07,9.60008E-05,11708.13129
231,1,16,2.75,70,30,TURBULENT,6.74394E-07,0.000104728,11708.13129
232,1,16,2.5,70,30,TURBULENT,6.74394E-07,0.000115201,11708.13129
233,1,16,2.25,70,30,TURBULENT,6.74394E-07,0.000128001,11708.13129
234,1,16,2,70,30,TURBULENT,6.74394E-07,0.000144001,11708.13129
235,1,16,1.75,70,30,TURBULENT,6.74394E-07,0.000164573,11708.13129
236,1,16,1.5,70,30,TURBULENT,6.74394E-07,0.000192002,11708.13129
237,1,16,1.25,70,30,TURBULENT,6.74394E-07,0.000230402,11708.13129
238,1,16,1,70,30,TURBULENT,6.74394E-07,0.000288002,11708.13129
239,1,16,0.75,70,30,TURBULENT,6.74394E-07,0.000384003,11708.13129
240,1,16,0.5,70,30,TURBULENT,6.74394E-07,0.000576005,11708.13129
241,1,17,4,70,45,TURBULENT,6.76254E-07,7.20006E-05,11740.42321
242,1,17,3.75,70,45,TURBULENT,6.76254E-07,7.68006E-05,11740.42321
243,1,17,3.5,70,45,TURBULENT,6.76254E-07,8.22864E-05,11740.42321
244,1,17,3.25,70,45,TURBULENT,6.76254E-07,8.86161E-05,11740.42321
245,1,17,3,70,45,TURBULENT,6.76254E-07,9.60008E-05,11740.42321
246,1,17,2.75,70,45,TURBULENT,6.76254E-07,0.000104728,11740.42321
247,1,17,2.5,70,45,TURBULENT,6.76254E-07,0.000115201,11740.42321
248,1,17,2.25,70,45,TURBULENT,6.76254E-07,0.000128001,11740.42321
249,1,17,2,70,45,TURBULENT,6.76254E-07,0.000144001,11740.42321
250,1,17,1.75,70,45,TURBULENT,6.76254E-07,0.000164573,11740.42321
251,1,17,1.5,70,45,TURBULENT,6.76254E-07,0.000192002,11740.42321
252,1,17,1.25,70,45,TURBULENT,6.76254E-07,0.000230402,11740.42321
253,1,17,1,70,45,TURBULENT,6.76254E-07,0.000288002,11740.42321
254,1,17,0.75,70,45,TURBULENT,6.76254E-07,0.000384003,11740.42321
255,1,17,0.5,70,45,TURBULENT,6.76254E-07,0.000576005,11740.42321
256,1,18,4,70,60,TURBULENT,6.77009E-07,7.20006E-05,11753.53265
257,1,18,3.75,70,60,TURBULENT,6.77009E-07,7.68006E-05,11753.53265
258,1,18,3.5,70,60,TURBULENT,6.77009E-07,8.22864E-05,11753.53265
259,1,18,3.25,70,60,TURBULENT,6.77009E-07,8.86161E-05,11753.53265
260,1,18,3,70,60,TURBULENT,6.77009E-07,9.60008E-05,11753.53265
261,1,18,2.75,70,60,TURBULENT,6.77009E-07,0.000104728,11753.53265
262,1,18,2.5,70,60,TURBULENT,6.77009E-07,0.000115201,11753.53265
263,1,18,2.25,70,60,TURBULENT,6.77009E-07,0.000128001,11753.53265
264,1,18,2,70,60,TURBULENT,6.77009E-07,0.000144001,11753.53265
265,1,18,1.75,70,60,TURBULENT,6.77009E-07,0.000164573,11753.53265
266,1,18,1.5,70,60,TURBULENT,6.77009E-07,0.000192002,11753.53265
267,1,18,1.25,70,60,TURBULENT,6.77009E-07,0.000230402,11753.53265
268,1,18,1,70,60,TURBULENT,6.77009E-07,0.000288002,11753.53265
269,1,18,0.75,70,60,TURBULENT,6.77009E-07,0.000384003,11753.53265
270,1,18,0.5,70,60,TURBULENT,6.77009E-07,0.000576005,11753.53265
