CASE_NUM,alpha,beta,gamma,RAE
1,0.07794333666580494,0.924661005309056,0.17993030640188545,0.21727453471838434
2,0.07800421645887046,0.9476912670491268,0.17838399845813818,0.2160458556871963
3,0.07811555120705127,0.942051795072492,0.1827032894803005,0.21687146915857294
4,0.07808992628234468,0.9322088932632823,0.18014476667220564,0.21334011860899801
5,0.07811300106988694,0.9308044502253254,0.1877176212714835,0.21627784394527055
6,0.07772251142771991,0.9321371920219628,0.19038961470155513,0.21650874584383345
7,0.07812542480387652,0.9459171042706268,0.19600547858327766,0.2190960837135373
8,0.07809077778518558,0.9440380954039245,0.20001089914711562,0.21992779540157237
9,0.07810352917092861,0.9283884400910788,0.2017912415636653,0.21875079332837435
10,0.07809892474482738,0.9477143497427023,0.2137639420532772,0.2253874164697567
11,0.0780946051133855,0.9345484205410867,0.21650751086251968,0.22508815245870112
12,0.07802996380240279,0.9423972132402388,0.22869906024341202,0.23124213372875685
13,0.07808037718713795,0.947890485718874,0.23872754974519894,0.236252273017374
14,0.07806558717795453,0.9354059020906561,0.2436745897434497,0.2376219329084828
15,0.07811843731390983,0.9492433355508554,0.2682024502655812,0.2503316821752638
16,0.0781179195346261,0.9153620590031903,0.17235994058695292,0.21284213805199262
17,0.07813818888585855,0.9396293077528111,0.176173957143701,0.21487821054993134
18,0.0781453065330609,0.9410328330630914,0.17680281664168546,0.21383491331528293
19,0.07797530574484735,0.9462535725755763,0.1832071294071569,0.21645732290934233
20,0.07811751510243226,0.9257769776294247,0.1778580005995984,0.21071238670380868
21,0.07811956631761596,0.9487281322543368,0.18993257893878296,0.21758550647742042
22,0.07812840530792486,0.9435489814422695,0.19094993130542243,0.2164916224486986
23,0.07812693857499992,0.9468076237300018,0.20102632916766544,0.2210853519737907
24,0.07795955810387556,0.9463355900612823,0.203040548196945,0.22086979095141235
25,0.07812149295465942,0.9481670431579201,0.2085878820503615,0.22288648112080073
26,0.0780821430643841,0.9386153433209891,0.21723156747279804,0.22597391814275286
27,0.0780981100035682,0.9276316088126947,0.22590206214858777,0.22896890867570782
28,0.07798394349780968,0.9468648925718484,0.23902077562817375,0.23637574220221283
29,0.07807330939078172,0.9333701949602364,0.2525265570557714,0.24169567028436242
30,0.07805841098018873,0.9234055352152587,0.26752050946309147,0.2479028154554406
31,0.07817205276439132,0.9459185649273861,0.17159550576577393,0.21428601057379623
32,0.07818597093367219,0.9284701882020385,0.17008934038555512,0.21100610434495595
33,0.07819969344870975,0.9380291800508531,0.17443571424996246,0.21266755702651322
34,0.07801659522041454,0.9456053984537718,0.18000993865486986,0.21498410489906533
35,0.0781518129847858,0.9487217635439074,0.17946982615732704,0.21327401391384132
36,0.07813455758669463,0.9481588565247159,0.18109698769678712,0.2127598206403647
37,0.07798184418793724,0.9296043678910264,0.1850297473464228,0.21276976267150285
38,0.07770975602675806,0.9330324808595085,0.20360004438543255,0.22248199876863228
39,0.07807069659762278,0.9428869607946437,0.19676921926999646,0.21762820366885077
40,0.07816337341499141,0.931800232347548,0.20543293028052123,0.22068050191584887
41,0.07821033299717173,0.941078774897783,0.2154730483469301,0.22571612710192135
42,0.07814737441255953,0.9494418395684254,0.22747983756943524,0.23180397249079573
43,0.07819397106178799,0.9311330099184603,0.23160498477728403,0.23208254603419107
44,0.07818034203712199,0.9449383225325864,0.2475543978199773,0.2406734564414469
45,0.07818101865605998,0.9415528133743255,0.2620536161644151,0.24729137357107733
136,0.08703544892925008,0.9273610163118786,0.22265291488232541,0.24240097642620567
137,0.11969697943317703,0.9123053718418003,0.23808968055849455,0.2662866832796478
138,0.15659996830802508,0.8665232768286041,0.252907673333188,0.2832963754863338
139,0.1932842255022481,0.9238839714901583,0.2688829925491564,0.30448566692573753
140,0.24712246924174414,0.8753339134655757,0.29101524116143246,0.32152077659942674
141,0.3140341114123196,0.6890934650373155,0.2783598636187308,0.29872086222142313
142,0.36253452456994617,0.7182829265390244,0.24518697121856392,0.28070347693022313
143,0.3673292401398892,0.8295006365321898,0.20595177567088607,0.24869251405917556
144,0.35821828501246505,0.9485737723847851,0.21090343191856115,0.24652443278418168
145,0.3440893982257547,0.9445514232086804,0.22604802097296622,0.25750786601143594
146,0.32070350746136,0.8673874350182977,0.22956618463963163,0.25303570430312755
147,0.28652368154400787,0.9297693273526271,0.23126905198319597,0.2532410167739353
148,0.24249180380891777,0.9236295155330012,0.1994842042208167,0.22255081606546256
149,0.1868404206249663,0.8661452851936964,0.18820413817269555,0.20852929281561638
150,0.12398295222040151,0.9296049670950643,0.15241236259314478,0.17806118336352492
151,0.07667413474484652,0.9376087262775856,0.25486879818623287,0.24173830174755254
152,0.08816440823283311,0.9429000809778287,0.22044842891865207,0.24820276322683277
153,0.12969619819046047,0.9466726538029004,0.23128366988369392,0.27224295268122484
154,0.17390030755687308,0.8766470834432779,0.24863986021430895,0.28870363173463975
155,0.2199216601308585,0.9286075448923566,0.2644750954282914,0.3102596606994836
156,0.28241984812116716,0.7335353277548787,0.28216788798147474,0.3085863746467504
157,0.3542629089317847,0.6331574859578264,0.26876903179204004,0.2899313218991522
158,0.37742403571886074,0.9038677973242015,0.2146660636789799,0.2595334673012241
159,0.375236601506116,0.8623754794077919,0.2058702767538988,0.2421167943667413
160,0.359037342502933,0.9488118410572725,0.22696363801420394,0.25897343177854615
161,0.33809993710385644,0.9321190236302632,0.2406188174376951,0.26802116319057023
162,0.3034516063246129,0.9206166040583064,0.2387031223562412,0.26120613704280515
163,0.2571584598796285,0.9280350409665412,0.22329988312928217,0.24524374732266582
164,0.20151140553703806,0.8702575050343833,0.18955445190416398,0.21185915751581338
165,0.13668912452075915,0.9126834715010329,0.14677689565244773,0.17552077473183483
166,0.07721525011166869,0.9419528605154824,0.26072177002361374,0.24170905126316228
167,0.07708116944244553,0.94912142852,0.22217564227948855,0.2418945947102409
168,0.12515803070725312,0.9441077646423841,0.24630292495652367,0.27743683418218495
169,0.1697073863840381,0.8918168294211749,0.24116973891677007,0.28643780177376243
170,0.2182670426439582,0.8489942128872804,0.27750182564733805,0.3124789085678498
171,0.2784707067747344,0.7418325242241973,0.2880216596714249,0.31476642871443067
172,0.3501398230554461,0.6661325825829126,0.27275133034883803,0.2988799389758481
173,0.38485341423495345,0.6740481746301968,0.22663707746580025,0.2640805522219378
174,0.3820430504966851,0.8812892673459667,0.21780414343323534,0.25605175123465485
175,0.36617619838874216,0.9396160614143624,0.22382263612238773,0.2549816707132906
176,0.34551279151256864,0.9177842110896568,0.22898153174919256,0.2547364223554398
177,0.3130079863411238,0.9480260240128864,0.24152671142497828,0.2640303247933912
178,0.2668643879588045,0.9087265795818713,0.21982344225009293,0.23958612338297006
179,0.206672028767597,0.936381734586325,0.19389607388926589,0.21602594275006318
180,0.1419764024818369,0.9148112255784151,0.15628836032371374,0.1810986227435274
226,0.0766166798392518,0.9489765687499534,0.38179051771502615,0.2713918074850011
227,0.07549578292708031,0.9478027675036295,0.37226441489164797,0.26610879242476354
228,0.07573124125616848,0.9488691389312862,0.3600871999723887,0.2587114810240971
229,0.07577523312735729,0.9484914194073741,0.36106809935143963,0.2612116647383913
230,0.07580664757575162,0.9493516353250828,0.3488214029548664,0.2543891520560184
231,0.07577487097432933,0.9489203839573479,0.3429727296494755,0.25282980822835804
232,0.07577531715742797,0.9498546303547531,0.32298540607877757,0.24157298669231644
233,0.07582151070077031,0.9447345600057204,0.30542382945201474,0.2333893360140919
234,0.07572579773788901,0.9494748286215912,0.2887530444335004,0.22812220093638083
235,0.07554174047453383,0.9496233505020484,0.25140142739054183,0.2111078705767546
236,0.07577793826575902,0.9495071565352856,0.22512961768597883,0.2094573712208263
237,0.09291919545374955,0.9475887387495745,0.2060732494499954,0.21219569179072184
238,0.22358225156639505,0.9494266122476087,0.26236986930705936,0.2920615682698699
239,0.4643509622179328,0.9431837725863809,0.20456016397421578,0.2507022786569831
240,0.33092496846667563,0.936786550909126,0.1646510130448972,0.19913304943589574
241,0.07583892373779394,0.9480988333679206,0.36539876833421403,0.2628116201857424
242,0.07577523312735729,0.9489436498408845,0.36106809935143963,0.2610298959125135
243,0.07582555040970312,0.944190348593475,0.3460020639972095,0.2515319226317521
244,0.07578824663204026,0.9491774268089161,0.3541794536413676,0.2595234177016411
245,0.07574014877039453,0.9499034184098053,0.34047038575141286,0.25199335171539866
246,0.07572624137670003,0.949996220143514,0.3298506491555663,0.24706503957117565
247,0.0758411831285119,0.9470513707789495,0.31852991193804764,0.24221822161071038
248,0.07580240942412336,0.9468432510225208,0.2967907365162538,0.23099259405766914
249,0.07580505188023223,0.9453834959087577,0.27845726276115335,0.2244264943902841
250,0.07577233986477694,0.9494456833612974,0.2493205772475634,0.21327866601702927
251,0.07646281121434106,0.9499465032545981,0.2205665419009883,0.20826184984915502
252,0.09284063637283846,0.9446160597944282,0.21407573115267498,0.21717831364249698
253,0.1806055047957308,0.9458476453042524,0.24200420076008583,0.2573540132419045
254,0.4579192955177716,0.9411604278803631,0.23122251149025908,0.281902772274738
255,0.3491068543709186,0.9357775229341219,0.16423438741899338,0.19692301657631497
256,0.075061710046881,0.9480792958610624,0.3653232777080957,0.26449266170944435
257,0.07517096122191297,0.948128426258501,0.36193745642220065,0.2633430990788917
258,0.0751323324399264,0.9497341249806924,0.3572392591151347,0.26156315840430033
259,0.07601288913757548,0.9486905364366518,0.33692646601741516,0.24839359030055888
260,0.07512886959510034,0.9483895288407838,0.34661758973472956,0.2581751380949678
261,0.07599154080797499,0.945473308181762,0.33095299259230015,0.24944946790000347
262,0.0751458145906928,0.948457134163794,0.3060994424414092,0.23499898898502017
263,0.07510198140853758,0.9490943016085579,0.29884801642169917,0.23507178982434238
264,0.07514447147784886,0.9480620946740866,0.27834642042098534,0.2272593042854053
265,0.07505096555756102,0.9496886331176784,0.24437146874305826,0.21274057221564124
266,0.07599432938285461,0.940866990664044,0.22144992723883156,0.21220271879697772
267,0.09541904598759321,0.945678663708033,0.22449632130264968,0.22517574454206507
268,0.16954829747510136,0.9455399336839642,0.25895934464913495,0.26411485888179587
269,0.4579986692075209,0.9316975540631982,0.23260146816708704,0.2831212714487944
270,0.35566585268191003,0.9160725557190177,0.15896117324989284,0.19013124714267135
